STAND	PLOT	REPLIC	VWC	TEMP	DATE	TIME	NOTES
3	4	1	14.9	16.1	2019-09-14	15:53	
3	4	2	16.4	16.2	2019-09-14	15:53	
3	4	3	14.4	16.6	2019-09-14	15:53	
3	4	4	15.4	16.6	2019-09-14	15:53	
3	4	5	15.4	16.3	2019-09-14	15:53	
3	4	6	16.4	16	2019-09-14	15:53	
3	5	1	20.8	16.1	2019-09-14	15:55	
3	5	2	16.4	16.4	2019-09-14	15:55	
3	5	3	19.3	16.2	2019-09-14	15:55	
3	5	4	12	16.1	2019-09-14	15:55	
3	5	5	18.9	16.4	2019-09-14	15:55	
3	5	6	20.8	16.1	2019-09-14	15:55	
3	6	1	17.4	16.5	2019-09-14	15:58	
3	6	2	18.9	16.9	2019-09-14	15:58	
3	6	3	18.4	16.4	2019-09-14	15:58	
3	6	4	14.9	16.2	2019-09-14	15:58	
3	6	5	16.4	16.6	2019-09-14	15:58	
3	6	6	20.8	16.2	2019-09-14	15:58	
20	79	1	24.3	16.8	2019-09-14	16:50	
20	79	2	14.4	17	2019-09-14	16:50	
20	79	3	20.3	17	2019-09-14	16:50	
20	79	4	14.9	16.8	2019-09-14	16:50	
20	79	5	17.4	16.7	2019-09-14	16:50	
20	79	6	16.4	16.6	2019-09-14	16:50	
20	25	1	16.9	16.9	2019-09-14	16:25	
20	25	2	19.3	19.8	2019-09-14	16:25	
20	25	3	18.9	16.1	2019-09-14	16:25	
20	25	4	19.8	19.8	2019-09-14	16:25	
20	25	5	18.4	16	2019-09-14	16:25	
20	25	6	20.8	18.2	2019-09-14	16:25	
20	26	1	15.9	16.3	2019-09-14	16:30	
20	26	2	17.4	16.5	2019-09-14	16:30	
20	26	3	19.3	16.5	2019-09-14	16:30	
20	26	4	13.5	16.4	2019-09-14	16:30	
20	26	5	18.4	16.7	2019-09-14	16:30	
20	26	6	14.4	16.2	2019-09-14	16:30	
20	27	1	13.9	16.6	2019-09-14	16:37	
20	27	2	15.4	17	2019-09-14	16:37	
20	27	3	17.9	16.8	2019-09-14	16:37	
20	27	4	16.4	16.7	2019-09-14	16:37	
20	27	5	13.9	16.9	2019-09-14	16:37	
20	27	6	18.9	16.7	2019-09-14	16:37	
20	28	1	17.4	16.2	2019-09-14	16:42	
20	28	2	15.9	16.2	2019-09-14	16:42	
20	28	3	21.3	15.9	2019-09-14	16:42	
20	28	4	17.4	16.2	2019-09-14	16:42	
20	28	5	12	16.7	2019-09-14	16:42	
20	28	6	14.9	16.3	2019-09-14	16:42	
20	29	1	14.9	16.5	2019-09-14	16:46	
20	29	2	15.4	16.8	2019-09-14	16:46	
20	29	3	14.9	16.5	2019-09-14	16:46	
20	29	4	17.4	17	2019-09-14	16:46	
20	29	5	14.4	17	2019-09-14	16:46	
20	29	6	15.4	16.5	2019-09-14	16:46	
20	30	1	13	16.3	2019-09-14	16:48	
20	30	2	18.4	16.4	2019-09-14	16:48	
20	30	3	13.9	16.4	2019-09-14	16:48	
20	30	4	14.9	16.6	2019-09-14	16:48	
20	30	5	14.9	16.7	2019-09-14	16:48	
20	30	6	13.9	16.1	2019-09-14	16:48	
