PLOT	STAND	VWC.PLOT.MEAN	TEMP.PLOT.MEAN	VWC.LOGGER	TEMP.LOGGER	DATE.TIME.PLOT	DATE.TIME.LOGGER	JULIAN
Plot_62	Stand_58	6.983333333333333	19.516666666666666	0.0745	21.032	2019-08-04T17:45:00Z	2019-08-04T17:25:10Z	216
Plot_63	Stand_58	5.266666666666667	19.45	0.0745	21.032	2019-08-04T17:49:00Z	2019-08-04T17:25:10Z	216
Plot_64	Stand_58	8.216666666666667	19.55	0.0745	21.032	2019-08-04T17:52:00Z	2019-08-04T17:25:10Z	216
Plot_65	Stand_58	4.616666666666666	19.78333333333333	0.0732	20.865	2019-08-04T17:56:00Z	2019-08-04T18:25:10Z	216
Plot_66	Stand_58	6.083333333333333	19.966666666666665	0.0732	20.865	2019-08-04T17:59:00Z	2019-08-04T18:25:10Z	216
Plot_10	Stand_6	12.283333333333333	18.46666666666667	0.3072	19.888	2019-08-03T16:30:00Z	2019-08-03T16:29:37Z	215
Plot_11	Stand_6	12.866666666666667	17.45	0.30620000000000003	17.843	2019-08-04T08:27:00Z	2019-08-04T08:29:37Z	216
Plot_12	Stand_6	23.5	17.366666666666667	0.30620000000000003	17.843	2019-08-04T08:31:00Z	2019-08-04T08:29:37Z	216
Plot_7	Stand_6	17.616666666666667	18.366666666666667	0.3072	19.888	2019-08-03T16:16:00Z	2019-08-03T16:29:37Z	215
Plot_8	Stand_6	20.483333333333334	17.233333333333334	0.30620000000000003	17.843	2019-08-04T08:24:00Z	2019-08-04T08:29:37Z	216
Plot_9	Stand_6	17.3	20.233333333333334	0.3072	19.888	2019-08-03T16:25:00Z	2019-08-03T16:29:37Z	215
Plot_13	Stand_7	5.666666666666666	17.016666666666666	0.1143	17.796	2019-08-04T10:30:00Z	2019-08-04T10:44:44Z	216
Plot_14	Stand_7	5.916666666666666	16.766666666666666	0.1143	17.796	2019-08-04T10:33:00Z	2019-08-04T10:44:44Z	216
Plot_15	Stand_7	7.166666666666666	16.683333333333334	0.1143	17.796	2019-08-04T10:38:00Z	2019-08-04T10:44:44Z	216
Plot_16	Stand_7	5.833333333333333	16.583333333333332	0.1143	17.796	2019-08-04T10:43:00Z	2019-08-04T10:44:44Z	216
